x,y_obs,weight,y_calc,y_bkg,Q
20.0023,0.488542,1,0.489675,0.489675,1.41667
20.0226,0.497917,1,0.489098,0.489098,1.41809
20.0428,0.472917,1,0.488525,0.488525,1.41951
20.063,0.496875,1,0.487957,0.487957,1.42092
20.0832,0.510417,1,0.487393,0.487393,1.42234
20.1035,0.501042,1,0.486834,0.486834,1.42376
20.1237,0.489583,1,0.486279,0.486279,1.42518
20.1439,0.464583,1,0.485728,0.485728,1.42659
20.1642,0.475,1,0.485182,0.485182,1.42801
20.1844,0.478125,1,0.48464,0.48464,1.42943
20.2046,0.494792,1,0.484103,0.484103,1.43085
20.2248,0.483333,1,0.483569,0.483569,1.43226
20.2451,0.475,1,0.48304,0.48304,1.43368
20.2653,0.48125,1,0.482515,0.482515,1.4351
20.2855,0.46875,1,0.481995,0.481995,1.43652
20.3057,0.465625,1,0.481478,0.481478,1.43793
20.326,0.503125,1,0.480966,0.480966,1.43935
20.3462,0.476042,1,0.480458,0.480458,1.44077
20.3664,0.505208,1,0.479954,0.479954,1.44219
20.3866,0.476042,1,0.479453,0.479453,1.4436
20.4069,0.485417,1,0.478957,0.478957,1.44502
20.4271,0.475,1,0.478465,0.478465,1.44644
20.4473,0.495833,1,0.477977,0.477977,1.44785
20.4675,0.516667,1,0.477493,0.477493,1.44927
20.4878,0.482292,1,0.477013,0.477013,1.45069
20.508,0.48125,1,0.476537,0.476537,1.4521
20.5282,0.478125,1,0.476065,0.476065,1.45352
20.5484,0.484375,1,0.475596,0.475596,1.45494
20.5687,0.451042,1,0.475132,0.475132,1.45635
20.5889,0.448958,1,0.474671,0.474671,1.45777
20.6091,0.455208,1,0.474214,0.474214,1.45919
20.6294,0.530208,1,0.473761,0.473761,1.4606
20.6496,0.470833,1,0.473311,0.473311,1.46202
20.6698,0.497917,1,0.472866,0.472866,1.46344
20.69,0.444792,1,0.472424,0.472424,1.46485
20.7103,0.465625,1,0.471985,0.471985,1.46627
20.7305,0.483333,1,0.471551,0.471551,1.46769
20.7507,0.538542,1,0.47112,0.47112,1.4691
20.7709,0.457292,1,0.470692,0.470692,1.47052
20.7912,0.49375,1,0.470268,0.470268,1.47194
20.8114,0.45625,1,0.469848,0.469848,1.47335
20.8316,0.485417,1,0.469431,0.469431,1.47477
20.8518,0.490625,1,0.469018,0.469018,1.47618
20.8721,0.480208,1,0.468608,0.468608,1.4776
20.8923,0.479167,1,0.468202,0.468202,1.47902
20.9125,0.49375,1,0.467799,0.467799,1.48043
20.9327,0.485417,1,0.4674,0.4674,1.48185
20.953,0.458333,1,0.467004,0.467004,1.48326
20.9732,0.458333,1,0.466611,0.466611,1.48468
20.9934,0.469792,1,0.466222,0.466222,1.4861
21.0136,0.508333,1,0.465836,0.465836,1.48751
21.0339,0.480208,1,0.465453,0.465453,1.48893
21.0541,0.497917,1,0.465074,0.465074,1.49034
21.0743,0.455208,1,0.464698,0.464698,1.49176
21.0945,0.448958,1,0.464325,0.464325,1.49317
21.1148,0.4875,1,0.463955,0.463955,1.49459
21.135,0.498958,1,0.463589,0.463589,1.496
