lattice_parameter_threshold,OHE_method,crystal_system,MSE,MAE,R2,dataset_size
10,sg,cubic,[0.16597781 0.16597781 0.16597781],[0.15834165 0.15834165 0.15834165],[0.94424109 0.94424109 0.94424109],15935
10,sg,hexagonal,[0.28871288 0.28871288 0.58313764],[0.26336848 0.26336848 0.36708794],[0.91858556 0.91858556 0.84073913],6791
10,sg,tetragonal,[0.52650282 0.52650282 0.7189658 ],[0.35367129 0.35367129 0.46873577],[0.87430542 0.87430542 0.82435892],9083
10,sg,orthorhombic,[0.43099603 0.48948003 0.64715057],[0.36327809 0.41755323 0.46619038],[0.79888911 0.79545493 0.74847382],8809
10,sg,monoclinic,[1.01183813 1.25646785 1.09791103],[0.66993042 0.73514807 0.71202091],[0.62758042 0.65010348 0.60925038],9003
10,sg,triclinic,[0.61184244 0.61720935 0.73706597],[0.50211206 0.51760524 0.59440397],[0.62788372 0.62131981 0.49538365],12797
10,sg,trigonal,[0.62178176 0.62178176 0.7665613 ],[0.44323676 0.44323676 0.55370701],[0.84022905 0.84022905 0.6881259 ],2367
20,sg,cubic,[0.60895477 0.60895477 0.60895477],[0.26445217 0.26445217 0.26445217],[0.91786719 0.91786719 0.91786719],20395
20,sg,hexagonal,[1.0539535 1.0539535 3.1220291],[0.43835265 0.43835265 0.84164549],[0.84388291 0.84388291 0.76899154],9845
20,sg,tetragonal,[1.39244438 1.39244438 3.3420228 ],[0.55513824 0.55513824 0.99839568],[0.81978221 0.81978221 0.7483641 ],15726
20,sg,orthorhombic,[1.23888972 2.43583635 3.66936087],[0.6314791  0.90303491 1.15676058],[0.76922796 0.74667995 0.77260908],29280
20,sg,monoclinic,[4.50928343 5.55085063 5.77062155],[1.39985979 1.53867417 1.64207072],[0.64343857 0.55571321 0.50819697],32454
20,sg,triclinic,[1.21395618 1.65375411 4.87334912],[0.70832917 0.814771   1.47111686],[0.670153   0.6034362  0.47489331],22847
20,sg,trigonal,[2.91801835 2.91801835 4.74806644],[0.89140342 0.89140342 1.35514869],[0.74279497 0.74279497 0.76535347],7487
