lattice_parameter_threshold,OHE_method,crystal_system,MSE,MAE,R2,dataset_size
10,sg,cubic,[0.37813601 0.37813601 0.37813601],[0.2989712 0.2989712 0.2989712],[0.90268509 0.90268509 0.90268509],4174
10,sg,hexagonal,[0.39514821 0.39514821 0.62193891],[0.32522552 0.32522552 0.39902706],[0.89467067 0.89467067 0.83268033],3080
10,sg,tetragonal,[0.75242485 0.75242485 0.94654377],[0.47201798 0.47201798 0.58545628],[0.81021774 0.81021774 0.79545   ],3244
10,sg,orthorhombic,[0.51806168 0.65736115 0.55896289],[0.4401062  0.48750177 0.46868488],[0.68869034 0.62971474 0.73248156],3107
10,sg,monoclinic,[1.08744007 1.42412614 1.17077191],[0.76960957 0.87337937 0.79062633],[0.57740006 0.54204893 0.51204304],2342
10,sg,triclinic,[1.0946886  1.02897133 0.89451939],[0.76081347 0.75154872 0.75058988],[0.21972309 0.24787983 0.17794306],1520
10,sg,trigonal,[1.14673381 1.14673381 0.91209135],[0.64313977 0.64313977 0.63448011],[0.67398146 0.67398146 0.57810786],945
20,sg,cubic,[1.58018678 1.58018678 1.58018678],[0.62880601 0.62880601 0.62880601],[0.8545553 0.8545553 0.8545553],5877
20,sg,hexagonal,[2.04275081 2.04275081 3.93531984],[0.67042406 0.67042406 1.06273657],[0.71167516 0.71167516 0.71490263],4371
20,sg,tetragonal,[2.0247533  2.0247533  3.74185871],[0.74302192 0.74302192 1.12557774],[0.7712291  0.7712291  0.74754453],6292
20,sg,orthorhombic,[1.58003731 3.02820754 5.16804581],[0.79401573 1.14112244 1.52519149],[0.63408732 0.70436876 0.66100796],11313
20,sg,monoclinic,[5.14710838 7.76428157 7.42440585],[1.61495401 2.01432576 2.04079063],[0.57607555 0.42244318 0.4277843 ],10900
20,sg,triclinic,[1.68675606 2.83763947 6.29434688],[0.94572123 1.2188868  1.83842169],[0.35434904 0.27639262 0.22890827],3038
20,sg,trigonal,[4.37875805 4.37875805 5.91511886],[1.25760304 1.25760304 1.58543352],[0.61874998 0.61874998 0.6846373 ],2591
