lattice_parameter_threshold,OHE_method,crystal_system,MSE,MAE,R2,dataset_size
10,sg,cubic,[0.20964521 0.20964521 0.20964521],[0.19049309 0.19049309 0.19049309],[0.92957138 0.92957138 0.92957138],15935
10,sg,hexagonal,[0.375069   0.375069   0.77599082],[0.31562542 0.31562542 0.47795866],[0.89423391 0.89423391 0.78806895],6791
10,sg,tetragonal,[0.57115025 0.57115025 0.87249133],[0.39403631 0.39403631 0.53929737],[0.86364653 0.86364653 0.78685312],9083
10,sg,orthorhombic,[0.54278794 0.6019191  0.7721549 ],[0.41625414 0.46298021 0.52660747],[0.74672489 0.74846863 0.69988874],8809
10,sg,monoclinic,[1.10144014 1.3549587  1.20428699],[0.70504015 0.78103063 0.75361489],[0.59460129 0.62267611 0.57139088],9003
10,sg,triclinic,[0.62452614 0.62744409 0.74489546],[0.51274745 0.52740164 0.59970584],[0.62016962 0.61504043 0.49002336],12797
10,sg,trigonal,[0.74760934 0.74760934 0.82726904],[0.49471567 0.49471567 0.58371702],[0.80789682 0.80789682 0.66342707],2367
20,sg,cubic,[0.79826331 0.79826331 0.79826331],[0.34454937 0.34454937 0.34454937],[0.8923342 0.8923342 0.8923342],20395
20,sg,hexagonal,[1.12712507 1.12712507 3.31778067],[0.4824157  0.4824157  0.95716298],[0.83304436 0.83304436 0.75450728],9845
20,sg,tetragonal,[1.55667835 1.55667835 4.05656688],[0.60974398 0.60974398 1.13174907],[0.79852615 0.79852615 0.69456286],15726
20,sg,orthorhombic,[1.35361195 2.58931034 4.01031762],[0.68123616 0.95641915 1.23547971],[0.74785827 0.7307191  0.75147993],29280
20,sg,monoclinic,[4.6748959  5.6981822  6.00403077],[1.43600034 1.571795   1.69552505],[0.63034314 0.54392088 0.48830459],32454
20,sg,triclinic,[1.23402588 1.67495744 4.91823566],[0.71744433 0.82382977 1.48583078],[0.66469982 0.59835172 0.47005675],22847
20,sg,trigonal,[3.19360283 3.19360283 5.17938306],[0.966697   0.966697   1.44125218],[0.71850393 0.71850393 0.74403807],7487
