model_key,model_name,param,MSE_all,MAE_all,R2_all,MSE_cubic,MAE_cubic,R2_cubic
rf1,Lumped RF,a,0.3373909378924011,0.30971393589899454,0.8900286203452816,0.06595953789292869,0.12171728183955043,0.97749443639813
rf1,Lumped RF,b,0.3608890925968716,0.3161541980995061,0.8827421404407361,0.06595881863065553,0.1217166885101695,0.9774946818122635
rf1,Lumped RF,c,0.46535783047554535,0.38194716893013386,0.8552475071968954,0.06958119311382396,0.12389442286914186,0.9762587183424606
rf2,Independent RF,a,0.3468728551373254,0.3171795248866923,0.8869380230467592,0.06951007152984624,0.12551613574524467,0.976282985209434
rf2,Independent RF,b,0.3999424551856899,0.34142242781384885,0.8700531625810701,0.0734603598599791,0.12746473484547285,0.9749351366935174
rf2,Independent RF,c,0.5035656783030839,0.4031320672719189,0.8433627147737699,0.07385448115950773,0.12641758451391832,0.9748006614946797
gbr1,Lumped GBR (XGBoost),a,0.29583048773643056,0.300565787781991,0.9035751016801798,0.05091287606211258,0.11343276252865038,0.9826283960292445
gbr1,Lumped GBR (XGBoost),b,0.32647518617268323,0.30944067300042405,0.8939236947995449,0.05100462229629219,0.11350893926700084,0.9825970919786928
gbr1,Lumped GBR (XGBoost),c,0.44205755265739743,0.3851677229346552,0.8624952057984966,0.058872459527993415,0.12393024273463428,0.9799125657239055
gbr2,Independent GBR (HistGBR),a,0.34830157265693495,0.3643601295971352,0.8864723376381652,0.06450148554585021,0.15122845801372328,0.9779919276007715
gbr2,Independent GBR (HistGBR),b,0.3891601241453102,0.38081982934374364,0.8735564911237994,0.06463891479360383,0.1523029287025418,0.9779450363887515
gbr2,Independent GBR (HistGBR),c,0.5667796805438724,0.4853350928243026,0.8236996000582305,0.08106671991010383,0.17403593786755808,0.9723398271241162
lin,Linear Regression,a,1.7901213065802262,1.0581566103422977,0.41651630875540346,1.6662115817417216,1.0460689479979917,0.4314843322897076
lin,Linear Regression,b,1.7908703471655059,1.0642468108983665,0.4181214451627807,1.705423019318907,1.0540619832261835,0.4181052891595599
lin,Linear Regression,c,2.093424209024987,1.1477848265687136,0.3488271757647826,1.654669297995666,1.0386330144092786,0.43542258912497156
